Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	[Arcobacter]_porcinus	NA	/mnt/e/focusDB/db/GCA_004299785.2_ASM429978v2_genomic.fasta
Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Abyssibacter	Abyssibacter_profundi	NA	/mnt/e/focusDB/db/GCA_003151135.1_ASM315113v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Abyssicoccus	Abyssicoccus_albus	NA	/mnt/e/focusDB/db/GCA_001989575.1_ASM198957v1_genomic.fasta
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Abyssicoccus	Abyssicoccus_albus	NA	/mnt/e/focusDB/db/GCA_003815035.1_ASM381503v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Abyssisolibacter	Abyssisolibacter_fermentans	NA	/mnt/e/focusDB/db/GCA_001559865.1_ASM155986v1_genomic.fasta
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Acaricomes	Acaricomes_phytoseiuli	NA	/mnt/e/focusDB/db/GCA_000376245.1_ASM37624v1_genomic.fasta
Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris_marina	NA	/mnt/e/focusDB/db/GCA_000018105.1_ASM1810v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetanaerobacterium	Acetanaerobacterium_elongatum	NA	/mnt/e/focusDB/db/GCA_900103835.1_IMG-taxon_2667527408_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Acetilactobacillus_jinshanensis	NA	/mnt/e/focusDB/db/GCA_004359375.1_ASM435937v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Acetitomaculum_ruminis	NA	/mnt/e/focusDB/db/GCA_900112085.1_IMG-taxon_2651870361_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_cellulolyticus	NA	/mnt/e/focusDB/db/GCA_000179595.2_ASM17959v2_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_clariflavus	NA	/mnt/e/focusDB/db/GCA_000237085.1_ASM23708v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_mesophilus	NA	/mnt/e/focusDB/db/GCA_004102745.1_ASM410274v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_saccincola	NA	/mnt/e/focusDB/db/GCA_002844395.1_ASM284439v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_straminisolvens	NA	/mnt/e/focusDB/db/GCA_000521465.1_ASM52146v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio_thermocellus	NA	/mnt/e/focusDB/db/GCA_000015865.1_ASM1586v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_noterae	NA	/mnt/e/focusDB/db/GCA_900168025.1_IMG-taxon_2588253727_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sticklandii	NA	/mnt/e/focusDB/db/GCA_000196455.1_ASM19645v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_aceti	NA	/mnt/e/focusDB/db/GCA_000193495.2_ASM19349v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_aceti	NA	/mnt/e/focusDB/db/GCA_000963905.1_ASM96390v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_aceti	NA	/mnt/e/focusDB/db/GCA_004341595.1_ASM434159v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	NA	/mnt/e/focusDB/db/GCA_001766235.1_ASM176623v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_ascendens	NA	/mnt/e/focusDB/db/GCA_001766255.1_ASM176625v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_cerevisiae	NA	/mnt/e/focusDB/db/GCA_001580535.1_ASM158053v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_cibinongensis	NA	/mnt/e/focusDB/db/GCA_000963925.1_ASM96392v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_cibinongensis	NA	/mnt/e/focusDB/db/GCA_007989305.1_ASM798930v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_ghanensis	NA	/mnt/e/focusDB/db/GCA_001499675.1_Acetobacter_ghanensis_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_indonesiensis	NA	/mnt/e/focusDB/db/GCA_000963945.1_ASM96394v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_indonesiensis	NA	/mnt/e/focusDB/db/GCA_007991075.1_ASM799107v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_malorum	NA	/mnt/e/focusDB/db/GCA_001580615.1_ASM158061v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_nitrogenifigens	NA	/mnt/e/focusDB/db/GCA_000429165.1_ASM42916v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_nitrogenifigens	NA	/mnt/e/focusDB/db/GCA_007991375.1_ASM799137v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_okinawensis	NA	/mnt/e/focusDB/db/GCA_000613865.1_ASM61386v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	NA	/mnt/e/focusDB/db/GCA_000963965.1_ASM96396v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis	NA	/mnt/e/focusDB/db/GCA_007989335.1_ASM798933v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orleanensis	NA	/mnt/e/focusDB/db/GCA_000964205.1_ASM96420v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orleanensis	NA	/mnt/e/focusDB/db/GCA_001581005.1_ASM158100v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_orleanensis	NA	/mnt/e/focusDB/db/GCA_006539325.1_ASM653932v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_oryzifermentans	NA	/mnt/e/focusDB/db/GCA_001628715.1_ASM162871v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_oryzoeni	NA	/mnt/e/focusDB/db/GCA_004014775.2_ASM401477v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_papayae	NA	/mnt/e/focusDB/db/GCA_000613285.1_ASM61328v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	NA	/mnt/e/focusDB/db/GCA_000241625.2_ASM24162v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	NA	/mnt/e/focusDB/db/GCA_000285275.1_ASM28527v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus	NA	/mnt/e/focusDB/db/GCA_003850805.1_ASM385080v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_peroxydans	NA	/mnt/e/focusDB/db/GCA_006539345.1_ASM653934v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_persici	NA	/mnt/e/focusDB/db/GCA_000613905.1_ASM61390v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_pomorum	NA	/mnt/e/focusDB/db/GCA_002738225.1_ASM273822v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_senegalensis	NA	/mnt/e/focusDB/db/GCA_001580995.1_ASM158099v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_syzygii	NA	/mnt/e/focusDB/db/GCA_000964225.1_ASM96422v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_syzygii	NA	/mnt/e/focusDB/db/GCA_007989285.1_ASM798928v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_tropicalis	NA	/mnt/e/focusDB/db/GCA_000787635.2_ASM78763v2_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_tropicalis	NA	/mnt/e/focusDB/db/GCA_001580915.1_ASM158091v1_genomic.fasta
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter_tropicalis	NA	/mnt/e/focusDB/db/GCA_007989245.1_ASM798924v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_bakii	NA	/mnt/e/focusDB/db/GCA_001263355.1_ASM126335v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_bakii	NA	/mnt/e/focusDB/db/GCA_008086625.1_ASM808662v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_dehalogenans	NA	/mnt/e/focusDB/db/GCA_000472665.1_ASM47266v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_paludosum	NA	/mnt/e/focusDB/db/GCA_008086595.1_ASM808659v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_wieringae	NA	/mnt/e/focusDB/db/GCA_001766835.1_ASM176683v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_woodii	NA	/mnt/e/focusDB/db/GCA_000247605.1_ASM24760v1_genomic.fasta
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Acetobacteroides	Acetobacteroides_hydrogenigenes	NA	/mnt/e/focusDB/db/GCA_004340205.1_ASM434020v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium_arabaticum	NA	/mnt/e/focusDB/db/GCA_000144695.1_ASM14469v1_genomic.fasta
Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium_hydrogeniformans	NA	/mnt/e/focusDB/db/GCA_000160455.2_ASM16045v2_genomic.fasta
Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium_mobile	NA	/mnt/e/focusDB/db/GCA_000266925.1_ASM26692v1_genomic.fasta
Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium_thermoterrenum	NA	/mnt/e/focusDB/db/GCA_900107215.1_IMG-taxon_2599185146_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Acetonema	Acetonema_longum	NA	/mnt/e/focusDB/db/GCA_000219125.2_ASM21912v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_equifetale	NA	/mnt/e/focusDB/db/GCA_000687735.1_ASM68773v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_granularum	NA	/mnt/e/focusDB/db/GCA_000526235.1_ASM52623v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_hippikon	NA	/mnt/e/focusDB/db/GCA_000702765.1_ASM70276v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_laidlawii	NA	/mnt/e/focusDB/db/GCA_000018785.1_ASM1878v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_laidlawii	NA	/mnt/e/focusDB/db/GCA_003385765.1_ASM338576v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_multilocale	NA	/mnt/e/focusDB/db/GCA_000483165.1_ASM48316v1_genomic.fasta
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_oculi	NA	/mnt/e/focusDB/db/GCA_900166985.1_IMG-taxon_2585428188_annotated_assembly_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_aloeverae	NA	/mnt/e/focusDB/db/GCA_004121055.1_ASM412105v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_denitrificans	NA	/mnt/e/focusDB/db/GCA_001571365.1_ASM157136v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_denitrificans	NA	/mnt/e/focusDB/db/GCA_013267395.1_ASM1326739v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_insolitus	NA	/mnt/e/focusDB/db/GCA_001971645.1_ASM197164v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_insolitus	NA	/mnt/e/focusDB/db/GCA_002209555.1_ASM220955v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_marplatensis	NA	/mnt/e/focusDB/db/GCA_002209535.1_ASM220953v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_marplatensis	NA	/mnt/e/focusDB/db/GCA_003315095.1_ASM331509v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_piechaudii	NA	/mnt/e/focusDB/db/GCA_001571245.1_ASM157124v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_spanius	NA	/mnt/e/focusDB/db/GCA_002812705.1_ASM281270v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_xylosoxidans	NA	/mnt/e/focusDB/db/GCA_001457475.1_NCTC10807_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_xylosoxidans	NA	/mnt/e/focusDB/db/GCA_001598595.1_ASM159859v1_genomic.fasta
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_xylosoxidans	NA	/mnt/e/focusDB/db/GCA_013343135.1_ASM1334313v1_genomic.fasta
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans	NA	/mnt/e/focusDB/db/GCA_900103005.1_IMG-taxon_2599185234_annotated_assembly_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_fermentans	NA	/mnt/e/focusDB/db/GCA_000025305.1_ASM2530v1_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini	NA	/mnt/e/focusDB/db/GCA_000425045.1_ASM42504v1_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_massiliensis	NA	/mnt/e/focusDB/db/GCA_900095825.1_PRJEB15304_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_provencensis	NA	/mnt/e/focusDB/db/GCA_900291475.1_PRJEB23928_genomic.fasta
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_timonensis	NA	/mnt/e/focusDB/db/GCA_900106585.1_PRJEB16534_genomic.fasta
Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus_ambivalens	NA	/mnt/e/focusDB/db/GCA_009729015.1_ASM972901v1_genomic.fasta
